Index,SPY,TLT,GLD,VXX,DBC
2009-11-04,83.557835514,68.0361764712,107.1,49520.64,23.6263401507
2009-11-05,85.0948791906,68.0361764712,106.98,46991.36,23.5000480364
2009-11-06,85.317869983,68.1018484562,107.43,45701.12,23.0823125814
2009-11-09,87.2610754601,68.1821142156,108.19,42967.04,23.4611889243
2009-11-10,87.2770033738,68.0580671328,108.39,43489.28,23.344611588
2009-11-11,87.7229849587,68.3426457345,109.6,43458.56,23.5000480364
2009-11-12,86.8310217889,68.2185986517,108.21,44789.76,23.1503160276
2009-11-13,87.3008952445,68.5323648023,109.74,44544,23.1308864715
2009-11-16,88.5671643873,69.3350223969,111.63,43831.296,23.8012061551
2009-11-17,88.6706958267,69.7071636453,111.97,43212.8,23.9177834914
2009-11-18,88.6149481285,69.2985379608,112.25,42321.92,23.9372130474
2009-11-19,87.4601743819,69.4225850436,112.3,43376.64,23.5971958166
2009-11-20,87.1495800639,69.4079912692,112.94,42229.76,23.5680514826
2009-11-23,88.2565700693,69.3204286225,114.29,39731.2,23.6749140408
2009-11-24,88.3919573361,69.7582418559,114.73,39331.84,23.4029002562
2009-11-25,88.7025516542,70.0793048937,116.62,38645.76,23.9663573815
2009-11-27,87.2610754601,70.3419928338,115.06,41082.88,23.6943435969
2009-11-30,87.5557418644,70.5098212399,115.64,41246.72,23.9566426035
2009-12-01,88.6388399992,69.7265646091,117.38,39720.96,24.1315086079
2009-12-02,88.5990202148,69.785127603,119.18,39516.16,23.9663573815
2009-12-03,87.9061559668,69.0604105535,118.7,40335.36,23.9469278254
2009-12-04,88.4078852498,68.3283731298,113.753,39362.56,23.752632265
2009-12-07,88.272497983,68.4162176206,113.11,39034.88,23.5389071485
2009-12-08,87.2929312876,68.5187028599,110.95,40120.32,23.305752476
2009-12-09,87.6194535194,68.2039267677,110.84,39884.8,23.0143091353
2009-12-10,88.1132188455,67.4206467244,110.82,39208.96,22.888017021
2009-12-11,88.4875248186,67.4133263501,109.32,39009.28,23.0045943573
2009-12-14,89.0927855409,67.4938504667,110.24,38297.6,23.1308864715
2009-12-15,88.6786597835,67.193715123,110.21,37703.68,23.0240239133
2009-12-16,88.8140470504,67.1131910064,111.59,36229.12,23.4223298122
2009-12-17,87.7468768294,68.2185675162,107.34,36710.4,23.0628830254
2009-12-18,88.2407934707,67.9257525467,108.95,36085.76,23.1600308056
2009-12-21,89.1375332283,66.7178907976,106.95,34949.12,22.9365909111
2009-12-22,89.4577974275,66.3445517115,106.17,34160.64,23.1017421375
2009-12-23,89.633942737,66.35919246,106.55,33669.12,23.5097628144
